Selection,Max,Length
MEOEIUSTG,EGOTISE/EGOTISM/TIMEOUS,7
DONGEOERB,ENROBED/REDBONE,7
PATEADDJS,ADAPTED/STEPDAD,7
NRIWTIREI,WINTRIER,8
EOIGUXFDT,DUGITE/FIDGET/FOETID/GIFTED/TUXEDO,6
FASOEAPMR,PARAMOS,7
AECNOPLID,CANOPIED/PALINODE/PANICLED,8
CRBWSEEOE,BOWERS/BOWSER/BROWSE/COWERS/CREESE/ESCROW/REBECS/WEBERS,6
TNBGEAOBU,BOGBEAN/BUGBANE/GUNBOAT,7
AMRTTETOO,AMORETTO/TATTOOER,8
KSEHEIITP,PIETIES,7
ASHDAOINL,ANDISOL/DAHLIAS/DOLINAS/LADINOS,7
VZEIOCSMA,AMICES/CAMEOS/CAVIES/COZIES/MOSAIC/MOVIES/VESICA/VOICES,6
BNDIEUNOL,UNBOILED,8
COSETAISR,OSTRACISE,9
STASPELGE,AESTELS/AGELESS/EAGLETS/ELAPSES/LEGATES/PASTELS/PELAGES/PESETAS/PESTLES/PLEASES/SAPELES/SEPTAGE/STAPLES/TAPLESS/TEASELS,7
BEISNOREX,BOERIES/BONXIES/BOREENS/EBONIES/EBONISE/EBRIOSE/ENROBES/INBOXES/OREXINS,7
MCEEOTLUS,MESOLECT/TELECOMS,8
OALNABRDE,ADORABLE/BALANDER/BANDEROL,8
GWDDFORIE,DODGIER/DOWDIER/FIREDOG/FOREDID,7
RJTNIUHAO,JANITOR/RAINOUT,7
NTOIGETAT,TATTING/TOTTING,7
ACEMDISIB,DIBASIC/IAMBICS,7
EEYMVPRII,RIEMPIE,7
URXOJASRE,AROUSE/JURORS/ROUSER/SOARER/SOURER,6
SDIEOTIMB,MODISTE,7
DLESNOAMO,ALMONDS/ANDOSOL/DAEMONS/DOLMANS/DOLMENS/MASONED/NOODLES/ONLOADS,7
TAMQOELPA,OATMEAL/PALMATE,7
IEUFEHNPH,UNHIP,5
GAEODNVDA,AGENDA/DANGED/DOGANA/DONGED/GOADED,6
RGATWIUAL,WAGTAIL,7
SPREEEALI,ESPALIER/PEARLIES/SLEEPIER,8
IYRTGUUEB,UBIETY,6
CREANSSNI,CRANNIES/RACINESS/SCANNERS,8
IORZISBAP,ISOBAR/ORIBIS,6
DRTAHEUOA,AUTHORED/HATORADE,8
OSEHESEGE,GEESE/GESSO/HOSES/OGEES/SEGOS/SHOES,5
IONNUFOCS,CONFUSION,9
DEOCETIXL,EXCITED,7
UGMIRINOR,MIRING/MURING/ORIGIN/RIGOUR/RIMING,6
EDLARGSSE,DRESSAGE/EELGRASS/LARGESSE/SLEDGERS,8
DEAVPALIM,AVAILED/IMPALED/IMPLEAD,7
BUWOSOTIN,BONITOS/BOUTONS,7
RSATPLAEM,MALAPERTS,9
OURZGIATN,ORATING/OUTGAIN/RAINOUT/ROUTING/TOURING/ZINGARO,7
YHSPEEJTE,SEETHE/TEPEES,6
AIGENDRDD,DREADING,8
RMGESEBSA,BESMEARS,8
OIUNVFRUS,FURIOUS/RUINOUS,7
LIEGROPMI,IMPERIL/IMPLORE/PIEROGI/PILGRIM,7
EONEKIBTL,BETOKEN/EBONITE/INKBLOT/NETLIKE,7
AIRSOISME,ISOMERS/MEIOSIS/MOSSIER/SARMIES/SEROMAS,7
UQXNAEORI,EQUINOX,7
MTEODALOE,METALED,7
UOAETDTRK,OUTDATE/ROTATED/TAKEOUT/TUTORED,7
WDAUNECMO,MANUCODE,8
OPCEOJIEP,COOEE/OPEPE/PIECE,5
RAXMEEEND,AMENDER/EMENDER/EXEDRAE/MEANDER/RENAMED,7
COQIAFLZE,FOCALIZE,8
IERDSYOTU,OUTRIDES/OUTSIDER,8
ASREBSAIS,AIRBASES/ARABISES/BRASSIES,8
ISORHAETT,HOARIEST/RHEOSTAT/THEORIST/TOASTIER,8
EDOOTFBGI,BIGFOOTED,9
SUIEGRSPA,UPRAISES,8
APIQTDORI,TAPIROID,8
OXAPERMSU,SUPERMAX,8
ENADTLLIN,DENTINAL/LANDLINE,8
IONTFREHR,FIRETHORN,9
REGSGKEAA,GARAGES/KEGGERS,7
OIEBRRCOT,ORBITER/ROBOTIC/ROOTIER,7
ASILNYESL,NAILLESS/SENSILLA,8
EMWSEEARN,MENSWEAR,8
IOPULONCE,COOLIE/COUPLE/COUPON/LEUCON/LOONIE/LUCINE/LUPINE/NUCLEI/PENCIL/PINOLE/POLICE/POUNCE/UNCLIP/UNCOIL/UNCOOL,6
USEDATTCE,EDUCATES,8
AICIJMXEF,AMICE/AMICI/FIXIE/MAFIC/MIXIE,5
QERDOLLUN,UNROLLED,8
UITVESPNE,PENSIVE/PUNIEST/PUNTIES/TENSIVE/VESPINE,7
USANAOPGD,DOGANAS/DOGNAPS/PAGODAS/POUSADA,7
EIOZDNRES,DENIERS/DERNIES/ENDORSE/INDORSE/NEREIDS/RESINED/RESIZED/REZONED/REZONES/ROSINED,7
OGSECANRI,COINAGES/CREASING/ORGANICS/ORGANISE/ROGAINES/SCENARIO,8
EEPIDRRLO,DEPLORE/DERPIER/REPLIED/REPLIER,7
AWMEPAHOA,HAOMA/MAHOE/MAHWA/WHOMP,5
LOSEOENTI,LOONIEST/OILSTONE,8
BAIEGRYLO,BILAYER/OBLIGER,7
RISAZEOOR,AIRERS/ARIOSO/ARSIER/OOZIER/RAISER/RAZOOS/RAZORS/ROSIER/SIERRA/SOARER/ZORROS,6
ITMNNIEUT,INTEIN/INTENT/INTUIT/MINUET/MINUTE/MITTEN/MUNTIN/TENUTI/TINNIE,6
BARAEDOPR,PREBOARD,8
VAELASDRF,FARDELS/FAVELAS,7
MGANIDPEC,DECAMPING,9
ISOEANTOJ,ATONIES/TAJINES/TOONIES,7
IRRIYDESE,SERRIED,7
NLGPWAEIC,LACEWING,8
SXLUETITO,LITOTES/OUTLETS/TOILETS,7
IEMGKANUD,AUGEND/DEKING/DINKUM/DUKING/ENIGMA/GAINED/GAMINE/GANKED/GUINEA/IMAGED/KINGED/MAIDEN/MAKING/MEDIAN/MEDINA/MUNGED/UNMADE/UNMAKE,6
YNBIAOECF,CENOBIA,7
ENGFULDUI,INGULFED,8
EMEOTRDSI,DOSIMETER,9
EWLIYEFAT,ALEWIFE,7
NERAESFUW,FAWNERS/WEANERS,7
DTOLPUEIX,EUPLOID/EXPLOIT/PILOTED,7
AMSRHOIRK,MARKHORS,8
ULAOSEMBJ,ABUELOS/EMBOLUS/JEALOUS/JUMBLES/MOBULAS,7
NDSEGIAER,GESNERIAD,9
VOACASRTL,CAVORTS/COASTAL/CRAVATS/CROTALS/OSTRACA/SALACOT/SCROTAL/VORTALS,7
ISSRPOMAE,PROMISES/PROSAISM,8
UBRONADPA,BANDORA/BANDURA/PADRONA/PANDORA/PROBAND,7
NUAEIHFSD,FUNDIES/HANDIES/INFUSED/SNAFUED,7
VSMNOUEIC,CONSUME/ENVIOUS/INCOMES/MESONIC/NIVEOUS/NOVICES/UNICOMS/VEINOUS,7
TYOALPUSG,OUTPLAYS,8
EVANDASGI,AGENDAS/AGNISED/EVADING/INVADES/NAIADES/NAVAIDS/SAVAGED/VAGINAE/VAGINAS/VISAGED,7
EIAPRFNEL,FLANERIE/PERINEAL,8
RLGSMTEEA,TELEGRAMS,9
RWEIAITST,TWISTIER/WARTIEST/WISTERIA,8
TQNEOTHUA,ATTUNE/EQUANT/NOTATE/TAUTEN/TENUTO,6
GIATVEPTA,AGITATE/APATITE,7
ESSRUOHNS,ONRUSHES/SOURNESS/UNHORSES,8
EKTUTDLPI,KITTLED/PUTTIED,7
ORMYBFEOD,BEDROOM/BOREDOM/DOOBREY/OREBODY,7
SEWIUENDC,ENDWISE/INCUDES/INCUSED/INDUCES/SINEWED,7
MDAFEABAG,GAMBADE,7
RTXRAUEIL,RETIRAL/RETRIAL/TRAILER,7
OSIQINSDM,MISSION,7
RLIMOTPEN,ORPIMENT,8
DSEOIPERR,REPRISED/RESPIRED,8
TAMRNAOEU,NEUROMATA,9
CUINDOTSI,CONDUITS/DISCOUNT/NOCTUIDS,8
ODEKGSLOP,POODLES/SPLODGE/SPOOGED/SPOOKED/SPOOLED,7
RROOTMEAR,ROTAMER,7
NUZTAYISG,STAYING,7
OOGATMITD,DIATOM/OMIGOD/TOMATO,6
DRPTEAISP,APPRISED/DAPPIEST/PERIAPTS/STRAPPED/STRIPPED/TRAIPSED,8
IEXMRELUA,EMAILER/MEALIER,7
RUNCESOAQ,CONQUERS/NACREOUS,8
ECIGSAEHT,ACHIEST/AITCHES/CAGIEST/ESCHEAT/TEACHES/TECHIES,7
KAHOINRBR,IRONBARK,8
INLSIAEER,LINEARISE/NAILERIES,9
BEOGRAMLU,EMBARGO/GAMBLER/GAMBREL/GLAMOUR/GRUMBLE/LUMBAGO/MORULAE/RUBEOLA/UMBRAGE,7
OTSDOIUSB,OBOISTS/OUTBIDS/STUDIOS,7
RTDOZIPAE,TRAPEZOID,9
IGPCEATNE,PATIENCE,8
XTONFEFUS,FOETUS/FOUEST/FOUNTS/FUTONS/OFFSET/SEXTON/SOFTEN,6
PAEMERTUL,METARULE,8
EUSPADMER,MEASURED/PERSUADE/PRESUMED,8
OTAQHIDMI,DAIMIO/DIATOM/MITHAI,6
APCRELUIY,PECULIAR,8
EISLNAETI,ALIENIST/LITANIES,8
RJRDOIHBE,BROIDER,7
FSPIROEAT,PASTORIE/SEPTORIA,8
OOSAHBYLI,ABOLISH,7
TUITRMTAD,ATRIUM/ATTRIT/RADIUM,6
GEUKDULDA,KLUDGED,7
EAARSROPI,APORIAS/PAREIRA/PARRIES/PRAISER/PROSIER/RAPIERS/RASPIER/REPAIRS/ROSARIA/SOAPIER/SPIRAEA,7
UMDISMXTE,SUMMITED,8
MUEUNSOAF,FAMOUS/NOSEMA/UNSAFE,6
UEERLWSFO,FERULES/FLOWERS/FOULERS/FOWLERS/OURSELF/REFLOWS/REFUELS,7
ULINJAISO,LIAISON,7
HWSEOLDEB,BEHOLDS/ELBOWED/WELSHED,7
PTREIPMEU,EMPTIER/PERMUTE,7
TTIAETSAR,RATTIEST/TARTIEST/TITRATES,8
YAABNEOIP,APNOEA/PAEONY,6
USRFAQNOO,SUNROOF/UNROOFS,7
EEEDEOTGN,DENOTE/TONGED,6
UFESEARCS,SURCEASE/SURFACES,8
LIODACTEN,ACTIONED/CATENOID/DELATION,8
SRREAIELI,REALISER,8
IFESEONLS,FELONIES/OLEFINES,8
EDAIFOSEX,OXIDASE,7
RITUNTIMO,INTROIT/TRITIUM/TUITION,7
OJRISETAA,ATRESIA/OSTERIA/ROASTIE,7
AQDENAAPM,EMPANADA,8
LRCAUMOGO,CLAMOUR/GLAMOUR,7
EHINKTADA,KHANATE/THANDAI/THANKED,7
EAURNPDCB,UNBRACED,8
WETGLOIER,GLOWIER,7
XLONNTRAI,ANOINT/INTRON/NATION/NATRON/NITROX/OXTAIL/RATION/TAILOR,6
CNJAIDSMA,CAIMANS/JICAMAS/MAIDANS/MANIACS,7
TDODERBIE,BETIDED/DEBITED/DEBRIDE/ORBITED,7
TDEEPSIBE,BETIDES/DEEPEST/DESPITE/EPEEIST/STEEPED,7
POSEUTRIL,OUTLIERS/PERILOUS/PLOUTERS,8
SASYLAOUN,LAUANS/NASALS/SALONS/SAOLAS/SAUNAS/SOLANS/UNLAYS/UNSAYS/YULANS,6
TEEESRFDO,DEFOREST/FESTERED/FORESTED/FOSTERED,8
PEUMDOBTP,UPTEMPO,7
ERITITAGM,MITIGATE,8
UVMOENSUW,VENOMS/VENOUS,6
ETNUOITTE,TENUTI/TENUTO/TIENTO,6
BEMGLERAI,BALMIER/BEAGLER/BEAMIER/BEGRIME/EMAILER/GAMBIER/GAMBLER/GAMBREL/MEALIER/MILEAGE,7
UNEERSFET,ENTREES/FUNSTER/NEUTERS/REFUTES/RETUNES/TENURES/TUREENS,7
FIIKEOSPO,KIPSIE/OOPSIE/POKIES,6
UTOSLEEZR,RESOLUTE,8
ACESDAQNO,DEACONS,7
IUIHNAGTM,MINUTIA/THIAMIN,7
EASDGVORB,ADVERBS/AGBEROS/BADGERS/BODEGAS/BODGERS/BORAGES/BRAVOES,7
ASNIXJOSE,ANISES/AXIONS/ENOSIS/JINXES/NOISES/NOSIES/OSSEIN/SAISON/SANIES/SANSEI/SASINE/SEASON/SONSIE/XENIAS,6
PIEANRUVT,PAINTER/PARVENU/PERTAIN/PETUNIA/PRIVATE/PURITAN/REPAINT/TAURINE/UNRIVET/URINATE/VAUNTER/VENTURI,7
EQTSAGPOP,STOPPAGE,8
SITNOENNW,INTONES/NEWTONS/TENSION/TOWNIES,7
CEDRIELHG,CEILED/CHEDER/CHIDER/CIERGE/DECILE/DREICH/EDGIER/GICLEE/GILDER/GIRDLE/GLIDER/HEDGER/HEDGIE/LECHED/LECHER/LEDGER/LICHEE/LIEDER/REGILD/RELIED,6
EFATRARKU,ERRATA/FARTER/FRATER/KARATE/RAFTER/RETURF,6
SWEDGUSIU,GUSSIED,7
ASEIETDRM,DIAMETERS/DIATREMES/DREAMIEST,9
MIENITATO,INTIMATE/TOMATINE,8
ZABLFMEME,EMBALM/EMBLEM/FEMALE/FLAMBE/MABELE,6
ONUSEDGVC,CONGES/COUDES/COVENS/DUNCES/ESCUDO/NUDGES/OUNCES/SCUNGE/SECOND/SECUND/UNDOES/VENOUS/VODUNS/VOGUED/VOGUES,6
PVAHONEON,NOVENA/PHONON,6
UAOESDRUB,ARDUOUS/AROUSED/BUREAUS/DAUBERS/EARBUDS/ROSEBUD/SUBDUER/SUBEDAR,7
ZOEUFKDMN,FONDUE/FUNKED/MENUDO/ZONKED,6
AURNIMITA,MURATINA,8
DNAOMISUT,DISMOUNT/MANITOUS/SAINTDOM/TINAMOUS,8
GNVIYHSEA,HEAVYING/SHEAVING,8
BCEEBLOEW,COBBLE/COBWEB/WOBBLE,6
UIRFRSHIT,FIRTHS/FRITHS/FRUITS/IRRITS/SHRIFT/SHUFTI,6
NTEMREOCA,CAROTENE,8
RPAISGGEA,GARAGES/SAGGIER/SPIRAEA,7
SMETLNTOE,NOTELETS,8
MSANNEAVT,ANNATES/NAMASTE/SAVANTE/SMETANA,7
PEOUUSYRA,AROUSE/AUREUS/OPERAS/OSPREY/PAREOS/PAREUS/PAYERS/PAYORS/POSEUR/PURSUE/REPAYS/UPROSE/URAEUS,6
LEHEWBESC,BEECHES/BELCHES/BESEECH/LEECHES/WELCHES,7
ATNOEMOLT,MANTLET/MATELOT/MOONLET/OMENTAL/OTTOMAN/TELAMON/TOMENTA,7
JRTIEGEEO,GOITRE,6
IDRRSAQAR,RADARS/SARDAR/SIRDAR,6
LEDAPLTNO,NOTEPAD/PLANTED/POLENTA/TADPOLE/TALONED/TONEPAD,7
TISAMCRUX,ATRIUMS/MATSURI,7
PENGTMIGO,EMOTING/MITOGEN/PIGMENT/PIMENTO/TEMPING,7
REFZRSOUI,FERROUS/FRISEUR/FURORES/FURRIES,7
CUAOIORMD,CARDIO/CORIUM/DROMOI/MUCOID/RADIUM,6
AISEDTELG,AEDILES/AGISTED/DELATES/DETAILS/DILATES/EAGLETS/EDGIEST/ELEGIST/IDEATES/LEGATES/LIGATED/LIGATES/SILAGED,7
LTNIEEESD,ENLISTED/ENLISTEE/LISTENED/NEEDIEST/SELENIDE/SELENITE,8
OIURSMCLB,RUBISCO,7
KAHOIRTNE,OTHERKIN,8
SMUIEZBRA,AUMBRIES,8
ATOSNEVTE,NEATEST/NOTATES/NOVATES,7
ADSEUERNI,ARSENIDE/DENARIUS/NEARSIDE/UNDERSEA/UNEASIER,8
TGDMOIXAS,DIATOMS/MASTOID,7
GLIBEADFO,FOLIAGE/OBLIGED,7
RDTONNPEE,DEPONENT,8
APSCRDUFE,SURFACED,8
UMUSTRDTE,MUTTERS/SMUTTED/SUTURED/TRUSTED,7
DMYHLAEPI,HEADILY/HELIPAD/IMPALED/IMPLEAD,7
MEOISEPNW,EPISOME/PEONIES/WINSOME,7
MRROOTGEU,GOURMET/GROOMER/GROUTER,7
TUSDXETGE,GUESTED,7
NATIUZFRA,TZARINA,7
EARTSINIU,NEURITIS/RAINIEST/URINATES,8
AELAYRIGD,ALREADY/GRADELY/LAIRAGE/RAILAGE/READILY/REGALIA/YARDAGE,7
UETONRTAS,OUTSTARE/TAUNTERS,8
MTSPAHERO,METAPHORS,9
REIEXRENU,EERIER,6
SIDTOFUCI,FUCOIDS,7
UOULAIJRT,RITUAL/TAILOR/TORULA,6
EAFEDPAMZ,AMAZED/DEFAME,6
NHIIEWBKI,BIKINI/BINKIE/WINKIE,6
SSIAEDGWM,SMIDGES,7
UCROLPATN,CALUTRON,8
BEIMDSTEA,BEADIEST/BEAMIEST/BEDMATES/BEDTIMES/DIABETES/MEDIATES/SIDEMEAT,8
TPRIUSAHO,APHORIST,8
PALWCEPOA,APPEAL/COWPEA/PALACE,6
URDGEIFSG,DRUGGIES,8
EBSBQEOLC,COBBLES,7
ICUWAMSIT,AMICUS/AUTISM/MASTIC/MUSCAT/SAMITI/TAUIWI,6
EKRIEDOIS,KIERIES,7
NESMTARUF,AFTERSUN/FRAENUMS/MENSTRUA/RAFTSMEN,8
RYGNIATOS,GYRATIONS/SIGNATORY,9
APURLAODS,AROUSAL/LUPARAS/PARADOS/PARASOL/PARLOUS/POUSADA/UPLOADS,7
LRNAIFETI,FLINTIER/INERTIAL/INFLATER,8
IEUCFLTNS,CUTLINES/FUNICLES/INFLECTS/TUNICLES,8
MSNEIEVZO,EVZONES,7
LICTDEAOD,CITADEL/CLADODE/DELTAIC/DELTOID/DIALECT/DILATED/EDICTAL/LOCATED/TOADIED,7
OGARITSEH,HOARIEST/SHORTAGE,8
RRAATBKEA,BARAAT/BARKER/BARTER/BRAATA/ERRATA/KARATE,6
URERABENF,BARREN/BEANER/BEARER/BEURRE/BURNER/EARNER/NEARER/REFURB/UNFREE/URBANE,6
HDMIUOMOE,HOODIE/HUMMED/MEDIUM,6
NEAEGDRXT,AGENDER/ANGERED/DERANGE/DEXTRAN/DRAGNET/ENDGATE/ENRAGED/GRANDEE/GRANTED/GRANTEE/GRENADE/NEGATED/REAGENT,7
OLAENTWIT,TONALITE,8
OCOSNESIP,OPSONISE/POCOSINS/SPOONIES,8
EOIMACETS,AMOSITE/ATOMIES/ATOMISE/COATEES/EMETICS/SOMATIC/STEAMIE,7
PRSNQADEI,SPRAINED,8
OSYRJLAUI,JARULS/JULIAS/RAULIS/RIYALS/ROSILY/ROYALS/SAILOR/SOURLY,6
PAEXEPRMB,AMPERE/BEAMER/MAPPER/PAMPER/PREAMP/RAPPEE,6
IMANINCSE,AMNESIC/ASININE/CANINES/CINEMAS/MANNIES/MENISCI/NANCIES,7
GEDNEOCDA,DEACONED,8
TRTIIWSAL,TRIALIST,8
DOLPEIAUS,ELASIPOD,8
ETMADARVB,ABATED/ABRADE/ADVERB/ADVERT/BATARD/BEMATA/BRAVED/DREAMT/TABARD,6
ATRUNAODF,ROTUNDA,7
CSRAUASOW,CURASSOW,8
COEIGTRIO,COGITO/COORIE/COOTER/COOTIE/EROTIC/GOITRE/GOOIER/OCTROI,6
TNTSITEAE,ENSTATITE/INTESTATE/SATINETTE,9
PTNAILDEQ,PANTILED,8
AVIHDARME,MARAVEDI,8
ENRUCESLT,ESCULENT/LECTERNS/LECTURES/UNSELECT,8
IHPEORGAG,ARPEGGIO,8
LAZNEOIST,TOENAILS,8
PSEIDOSES,DESPISES/DISPOSES/EPISODES,8
NAROITUJM,JANITOR/MANITOU/RAINOUT/TINAMOU,7
ERAODERTN,ADORNER/RERATED/RETREAD/TERRANE/TREADER,7
ARSEMPKNE,SPEARMEN,8
QTLPTEETU,PUTTEE,6
CATOLEACZ,CLOACAE,7
DDEGATILO,ADELGID/DELTOID/DILATED/GLADDIE/GLOATED/GODETIA/LIGATED/TOADIED,7
IEDOMUARL,MOULDIER,8
ECOSXUSIS,COSSIES/CUISSES,7
ORNEIPKFI,PINKIER/RIPIENO,7
EYSEATBNU,ABSENT/BAYEST/BEATEN/BEAUTS/BEAUTY/BUNYAS/BUSTEE/BUTANE/SATEEN/SENATE/SUBNET/TEENSY/UNEASE/UNEASY/UNSEAT/YENTAS,6
NDGAIRRAW,AWARDING,8
METOISTBR,BETTORS/BISTORT/BITTERS/BOTTIES/EROTISM/MOBSTER/MOISTER/MORTISE/OBITERS/TIMBERS/TIMBRES/TORTIES,7
JAGASGNAN,NAGANA,6
KLARASEPI,AERIALS/KARELAS/PARKIES/SPARKLE/SPIRAEA,7
DTPEREGOE,DEPORTEE/PROTEGEE,8
DTEERSNAI,DENTARIES/DETAINERS/RESINATED,9
BDASEFYOU,ABODES/ABUSED/ADOBES/BAYOUS/BUOYED/DAUBES/SABOED,6
ABELIRPRC,CALIBRE/CALIPER/REPLICA,7
QDBUAVEGM,AGUED/BADGE/BEGAD/BEGUM/BUDGE/DAUBE/DEBAG/DEBUG/GAMED/MAUVE/VADGE/VAGUE,5
ETLNURSEI,UNSTERILE,9
RSIZHODLO,DROOLS/OLDISH/ZOOIDS,6
FMSLAUEUN,ALUMNUS/FAMULUS/FLAMENS,7
NAHFRCEOT,ANOTHER/CHANTER/CHORTEN/ENACTOR/NOTCHER/TRANCHE,7
EADROSJTT,DOTTERS/JOTTERS/ROASTED/ROTATED/ROTATES/STARTED/TETRADS/TOASTED/TOASTER/TORSADE,7
BANONRIEI,BIENNIA/BONNIER/ROBINIA,7
RAEYTCOUB,CAUTERY/OUTRACE,7
ODNMWPSIE,IMPENDS/IMPOSED/WINSOME,7
RAEERLNUT,RELEARNT/URETERAL,8
THVTAKESI,ATHEIST/SHITAKE/STAITHE/STATIVE,7
ATCORREPE,PROCREATE,9
PEPMOTESA,METOPES/MOPPETS,7
AGWVTEROL,WATERLOG,8
ETRTIGUIS,UTERITIS,8
EQOPFNORO,OPERON,6
EPCESTANK,KNEECAPS,8
DGIAALSRT,LARIATS/RADIALS,7
DEEORSITN,DESERTION,9
IPHNOCDAA,HANDICAP,8
NMBEXSOOF,BESOM/BONES/BOOMS/BOONS/BOSOM/BOSON/BOXES/EXONS/FONES/FOXES/MEBOS/MESON/MOBES/MOBOS/MOFOS/MONOS/MOOBS/MOONS/MOOSE/NOMES/NOOBS/NOOSE/OBOES/OMENS,5
LOGNUACLI,CALLING/CINGULA/COALING/CULLING/INOCULA/LINGUAL/LOGICAL,7
ELPERIAKR,PEARLIER,8
IUTSHADVA,AUDITS/DAITHS/DAVITS/HIATUS/HUTIAS/SATIVA/SHAADI/STADIA,6
STAURTOEG,TUTORAGES,9
SROEFZARS,SOARERS,7
MSTAEETIB,BEAMIEST/ESTIMATE/MEATIEST/TEATIMES,8
OETANFBSN,BONNETS/NANOBES,7
LDNAREEPI,PERINEAL,8
OCDUNSEEM,CONSUMED,8
LAGWBEOIB,BEWAIL/BLOWIE/GABBLE/GOALIE/GOBBLE/GWEILO/OBELIA/OBLIGE/WEBLOG/WIBBLE/WOBBLE,6
DIECAJEPM,APIECE/CAMPED/DECAMP/IMPEDE/MEDIAE/PEACED/PIECED,6
EXISLEDUN,ENISLED/ENSILED/INDEXES/LINSEED/UNSEXED,7
ANAEVTMES,EMANATES/MANATEES,8
ANFPYOEEI,PAEONY,6
EOOSSFLED,FLOSSED,7
ITDEAAOQP,ADIPATE/OPIATED,7
OSYGULIER,RUGOSELY,8
LWIAAINCO,CANOLA/OILCAN,6
EFNDIEDUA,DEFINED/UNAIDED,7
OELEARBGI,AEROGEL/BEAGLER/EARLOBE/OBLIGEE/OBLIGER,7
OERNBOINX,BONNIER,7
TTODEUGMU,DUGOUT/GUTTED/TOUTED,6
OGOESTRBR,BOOGERS/BOOSTER/GOOBERS/REBOOTS/ROOSTER/ROOTERS/TOREROS,7
PTUMAEWAE,AMPUTEE,7
ASHLEGIEZ,EAGLES/GEISHA/GHAZIS/GLAZES/HAZELS/LIEGES/LIGASE/SHEILA/SILAGE/SLEAZE/SLEIGH,6
OERDNTEIP,REPOINTED/TERPENOID,9
ONIMTOCSA,ONOMASTIC,9
NEORGNAYE,ANNOYER/ORANGEY,7
LVFLISOUE,FOLLIES/VILLOSE/VILLOUS,7
SKTEECITA,TACKIEST,8
DBIMEUXDL,BUDDLE/DIDLUM/DUMBED/IMBUED/LIMBED/MIDDLE/MUDDIE/MUDDLE,6
VPUOTATIL,PIVOTAL/TALIPOT,7
XPOSRUCAE,EXOCARPS,8
RCHLOIETE,CHLORITE/CLOTHIER/HOTELIER/RECLOTHE,8
AMDOEEENH,HEADMEN,7
AAIFNGTQI,FATING/GITANA,6
OMRIWBOSA,WABOOMS,7
LOSEDUERP,DEPLORES/PRELUDES/REPULSED/URODELES,8
ISEARDADE,DEADRISE,8
ATTTSEKGU,GUTTATE/STATUTE/TAUTEST,7
EAEISOYGT,EGOTISE/GOATEES,7
PBMNAMOEE,APEMEN/BEMOAN/MOPANE,6
EIEMDLXGI,EXILED/MIELIE,6
GEOUNDPNT,DUNGEON/PUNGENT/TONGUED/UNNOTED/UNTONED,7
AOMPFGISE,MAGPIES,7
EEONSTDNJ,ENDNOTES/SONNETED,8
HSEATOHML,HAMLETS/LOATHES/MALTOSE,7
AIQASSTAR,TARIQAS,7
RNCURIPEO,CROUPIER,8
